CustomerName,Class,Long,Latt,Gallons
1592-1-10 FRIDAY GAS & OIL INC          ,All,-78.50472,41.293237,1752570
1592-1-10 FRIDAY GAS & OIL INC          ,FUEL OIL                      ,-78.50472,41.293237,1750177
1592-1-10 FRIDAY GAS & OIL INC          ,GASOLINE                      ,-78.50472,41.293237,2393
1610-1-10 FUCHS LUBRICANTS CO.          ,All,-87.66264,41.609078,93094
1610-1-10 FUCHS LUBRICANTS CO.          ,RESINS                        ,-87.66264,41.609078,31895
1610-1-10 FUCHS LUBRICANTS CO.          ,KENSOL DISTILLATES HT         ,-87.66264,41.609078,20680
1610-1-10 FUCHS LUBRICANTS CO.          ,IN PROCESS-BASE OILS          ,-87.66264,41.609078,15441
1610-1-10 FUCHS LUBRICANTS CO.          ,KENDEX 0150 HT                ,-87.66264,41.609078,12325
1610-1-10 FUCHS LUBRICANTS CO.          ,BASE OILS                     ,-87.66264,41.609078,8483
1610-1-10 FUCHS LUBRICANTS CO.          ,SPECIALTY PRODUCTS            ,-87.66264,41.609078,4270
1610-801-10 FUCHS LUBRICANTS CO.          ,All,-87.66264,41.609078,673901
1610-801-10 FUCHS LUBRICANTS CO.          ,KENDEX 0150 HT                ,-87.66264,41.609078,394551
1610-801-10 FUCHS LUBRICANTS CO.          ,BASE OILS                     ,-87.66264,41.609078,279350
1610-802-10 FUCHS LUBRICANTS              ,KENDEX 0150 HT                ,-82.49609,38.386966,124870
1610-802-10 FUCHS LUBRICANTS              ,All,-82.49609,38.386966,124870
1610-803-10 FUCHS KANSAS CITY             ,All,-94.79019,39.076554,68008
1610-803-10 FUCHS KANSAS CITY             ,RESINS                        ,-94.79019,39.076554,68008
"1644-901-10 FUEL ENTERPRISES, INC.        ",All,-66.14541626,7.665389061,18457
"1644-901-10 FUEL ENTERPRISES, INC.        ",KENDEX 0847/H                 ,-66.14541626,7.665389061,18457
1650-4-10 WOLSELEY INDUSTRIAL GROUP 1377,All,-95.04487,29.666781,62
1650-4-10 WOLSELEY INDUSTRIAL GROUP 1377,OCTG                          ,-95.04487,29.666781,62
1660-2-10 G & G OIL COMPANY             ,All,-85.38494,40.192293,832
1660-2-10 G & G OIL COMPANY             ,RESINS                        ,-85.38494,40.192293,832
170-1-10 ALLEGHENY PETROLEUM CO.       ,All,-79.80286,40.394268,254294
170-1-10 ALLEGHENY PETROLEUM CO.       ,KENDEX 0150 HT                ,-79.80286,40.394268,229270
170-1-10 ALLEGHENY PETROLEUM CO.       ,KENSOL DISTILLATES HT         ,-79.80286,40.394268,25024
170-8-10 ARCONIC MILL PRODUCTS-LANCASTE,All,-76.3155,40.072246,3999
170-8-10 ARCONIC MILL PRODUCTS-LANCASTE,KENSOL NAPHTHAS               ,-76.3155,40.072246,3999
"170-9-10 TKA-TCI TEXARKANA, INC.       ",All,-94.08984,33.414708,12068
"170-9-10 TKA-TCI TEXARKANA, INC.       ",KENSOL DISTILLATES HT         ,-94.08984,33.414708,12068
1720-4-10 GARDNER ASPHALT CORPORATION   ,KENDEX 0150 HT                ,-86.45052,33.781133,8680
1720-4-10 GARDNER ASPHALT CORPORATION   ,All,-86.45052,33.781133,8680
1720-801-10 GARDNER ASPHALT               ,All,-75.61102,38.643248,196004
1720-801-10 GARDNER ASPHALT               ,KENSOL NAPHTHAS               ,-75.61102,38.643248,196004
1728-901-10 MINERALOELWERK OSNABRUECK GMBH,All,10.3822031,51.20246506,63692
1728-901-10 MINERALOELWERK OSNABRUECK GMBH,RESINS                        ,10.3822031,51.20246506,63692
1780-1-10 DREUMEX USA. INC              ,All,-76.67785,39.976898,9026
1780-1-10 DREUMEX USA. INC              ,All,-78.94801,40.099003,9026
1780-1-10 DREUMEX USA. INC              ,KENSOL DISTILLATES HT         ,-78.94801,40.099003,7376
1780-1-10 DREUMEX USA. INC              ,KENSOL DISTILLATES HT         ,-76.67785,39.976898,7376
1780-1-10 DREUMEX USA. INC              ,KENSOL NAPHTHAS               ,-76.67785,39.976898,1650
1780-1-10 DREUMEX USA. INC              ,KENSOL NAPHTHAS               ,-78.94801,40.099003,1650
1783-701-10 GH INTERNATIONAL SEALANTS LLC ,KENSOL NAPHTHAS               ,-79.6525,43.6951,5981
1783-701-10 GH INTERNATIONAL SEALANTS LLC ,All,-79.6525,43.6951,5981
1794-801-10 GLOBALWAX                     ,WAXES                         ,-97.42739,25.918758,73998
1794-801-10 GLOBALWAX                     ,All,-97.42739,25.918758,73998
1797-12-10 WEATHERFORD WELL SCREEN       ,OCTG                          ,-95.33967,29.862024,21
